id,phase,title,work,crates,acceptance,status,dependencies,gate_dependency,review_roles,evidence_required
T024,G3,PDF and DOCX exporters,Render from semantic tree using qualified Rust pipelines and test fonts.,"materials, export","Page targets, image ratio, text order and fact parity pass render comparisons.",PLANNED,['T023'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T025,G3,Correction propagation,Invalidate downstream unsent revisions and grants when evidence changes.,"profile, materials, applications",100 correction fixtures affect exactly intended dependencies; submitted bytes remain immutable.,PLANNED,['T024'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T026,G3,Answer library,Context-tagged answers with character counters and explicit reuse diff.,materials,Old authorization/salary answer cannot silently migrate to a new job.,PLANNED,['T025'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T027,G4,Dedicated browser session,Visible Rust-controlled browser with isolated profile and private transport.,browser,No main-profile attachment or external CDP exposure; login/MFA challenge handoff works.,PLANNED,[],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T028,G4,Typed form mapping,Read field labels/types and propose exact values without arbitrary JS execution.,"browser, applications",Complex and ambiguous widgets pause; sensitive declarations need explicit user input.,PLANNED,['T027'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T029,G4,One-use approval service,Bind job/destination/packet/profile/form/operation digest and expiry.,"policy, applications",Replay/expiry/mutation/race cases reject; grant minted only by user gesture.,PLANNED,['T028'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T030,G4,Submission journal,Persist intent and transition before approved external write.,"applications, store",Fault at every boundary yields consistent local state; no Prepared=>Confirmed shortcut.,PLANNED,['T029'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T031,G4,Receipt verification,Adapter-specific acknowledgement/identifier/email proof with redacted snapshot.,applications,Plausible success text on wrong origin not accepted; receipt source linked.,PLANNED,['T030'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T032,G4,Uncertain recovery,Block ambiguous retries; reconcile through approved observation routes.,"applications, browser",Crash-after-click scenario never auto-resubmits; user manual attestation separately labeled.,PLANNED,['T031'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T033,G4,Manual fallback packet,Copy answers/download exact files and track external attestation.,"desktop, export",Unsupported ATS remains usable without pretending automation or confirmation worked.,PLANNED,['T032'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T034,G4,Adapter drift tests,"Form fingerprints, custom questions and receipt fixtures with per-operation capabilities.","browser, connectors",Failed upload test disables upload claim without disabling permitted discovery.,PLANNED,['T033'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T035,G5,Inbox consent and ingestion,OAuth/IMAP or selected-message import with minimal scopes and encrypted tokens.,mail,Unrelated mail excluded by policy; revoked grant stops new reads.,PLANNED,[],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T036,G5,Timeline reconciliation,Match message evidence to requisition and propose lifecycle events.,"mail, applications",One-role rejection does not reject other roles; low-confidence match awaits review.,PLANNED,['T035'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T037,G5,Calendar coordination,Prepare timezone-aware events and availability checks before user-approved writes.,calendar,DST/overlap/recipient ambiguity handled; no invitation merely from a draft.,PLANNED,['T036'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T038,G5,Relationship CRM,"Candidate-owned contacts, provenance, opt-in followups and draft approvals.","contacts, desktop",No guessed email mass send; exact outbound text/recipient visible.,PLANNED,['T037'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T039,G5,Interview practice,Role/evidence-based question and feedback sessions with optional local voice.,interview,Record consent; no fabricated experience/covert live assistance; resource budget remains visible.,PLANNED,['T038'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T040,G5,Learning and public support,Source-backed gap exercises and official service links with unknown criteria.,"research, profile",Tutorial completion not years of employment; program eligibility not decided by app.,PLANNED,['T039'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T041,G5,Offer scenarios,Normalize units/currency/date while preserving original offers and assumptions.,offers,Gross/net/base/equity/installments distinguished; no unqualified legal/tax claims.,PLANNED,['T040'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T042,G5,Outcome analytics,"Explicit funnel denominators, response lag and variant provenance.","applications, analytics",Recent unresolved applications not counted rejected; observational results labeled.,PLANNED,['T041'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T043,G5,Scoped review sharing,"Candidate chooses exact redacted packet, expiry and reviewer permissions.","export, policy",Local core works without hosted sharing; no full vault disclosed by default.,PLANNED,['T042'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T044,G6,Windows release packaging,"Signed nonadmin installer, separate model downloads and manifest verification.",release,Clean account install/uninstall/upgrade tested; no mandatory development tools.,PLANNED,[],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T045,G6,Update and rollback,"Signed metadata, version checks, migration coupling and last-good version.","release, store",Tampered binary rejected; interrupted update leaves recoverable supported state.,PLANNED,['T044'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T046,G6,Dependency and supply-chain audit,"SBOM, license notices, vulnerability checks, pinned build inputs.","release, security",No code/data/model license conflation; critical findings resolved or release blocked.,PLANNED,['T045'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T047,G6,Privacy and redacted support,"Opt-in diagnostics, egress inspector, retention, export and key disposal.","policy, export",Canary PII stays out of telemetry; backup deletion behavior documented.,PLANNED,['T046'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T048,G6,Comparative benchmark,Run blinded task suite against accessible current alternatives.,benchmark,Published denominators/version/tier/confidence limits; no untested missing-feature claims.,PLANNED,['T047'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T049,G6,Usability pilot,Observe diverse consenting seekers on real permitted workflows.,"research, UX",Task effort and failures recorded; no hiring-uplift claim from underpowered pilot.,PLANNED,['T048'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T050,G6,Release gate and limitations,"Assemble test evidence, coverage matrix, support plan and known limitations.",all,Cannot release as enterprise-grade on screenshots or mocked happy paths alone.,PLANNED,['T049'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
