id,title,url,kind,checked,note
S43,Ollama context length,https://docs.ollama.com/context-length,primary,2026-09-25,"Memory grows with context; inspect actual processor/offload split, do not infer fit from parameter count."
S44,Tauri capabilities,https://v2.tauri.app/security/capabilities/,primary,2026-09-25,Capability union and custom-command default exposure require explicit attention; not a complete sandbox.
S45,Tauri Windows installer,https://v2.tauri.app/distribute/windows-installer/,primary,2026-09-25,MSI/NSIS and WebView2 installation choices; Windows system runtime remains separately licensed.
S46,Playwright authentication,https://playwright.dev/docs/auth,primary,2026-09-25,Saved browser authentication state is sensitive. Never commit it or put it in diagnostic bundles.
S47,OWASP LLM01 prompt injection,https://genai.owasp.org/llmrisk/llm01-prompt-injection/,primary,2026-09-25,Indirect injection from documents and webpages; prompting/RAG alone does not eliminate the risk.
S48,WCAG 2.2,https://www.w3.org/TR/WCAG22/,primary,2026-09-25,Accessibility baseline. Native assistive-technology testing is additionally necessary.
S49,Windows application design,https://learn.microsoft.com/en-us/windows/apps/design/,primary,2026-09-25,Windows UI conventions and accessibility guidance.
S50,Windows 10 Home and Pro lifecycle,https://learn.microsoft.com/en-us/lifecycle/products/windows-10-home-and-pro,primary,2026-09-25,General support end is 2025-10-14. ESU/managed exceptions need separate review; Windows 11 is proposed release baseline.
S51,Gmail API scopes,https://developers.google.com/workspace/gmail/api/auth/scopes,primary,2026-09-25,Read-only/metadata are restricted scopes; local filtering is not a narrower OAuth authorization. Verification obligations must be reviewed.
S52,FTC job scams,https://consumer.ftc.gov/articles/job-scams,primary,2026-09-25,Useful risk signals and verification behavior; no automated scam verdict can establish legitimacy.
S53,SQLCipher license,https://www.zetetic.net/sqlcipher/license/,primary,2026-09-25,Community BSD-style license vs separately licensed commercial offerings; choose community source build for the proposed core.
S54,SearXNG documentation,https://docs.searxng.org/,primary,2026-09-25,Optional self-hosted metasearch; neither unlimited upstream search nor guaranteed availability.
S55,ChatGPT Images 2.5 announcement,https://openai.com/index/introducing-chatgpt-images-2-5/,primary,2026-09-25,Official 2026-09-08 announcement; available image tool does not expose a selectable Flare/Sunburst backend.
S56,GodsScion current license,https://raw.githubusercontent.com/GodsScion/Auto_job_applier_linkedIn/main/LICENSE,primary,2026-09-25,"Live connector returned MIT text, modified 2026-08-10. Cached license disagreement resolved in favor of live file."
S57,CareerPulse current license,https://raw.githubusercontent.com/tcpsyn/CareerPulse/main/LICENSE,primary,2026-09-25,MIT text directly inspected.
S58,career-ops current license,https://raw.githubusercontent.com/career-ops-hq/career-ops/main/LICENSE,primary,2026-09-25,MIT text fetched with live GitHub connector after web cache miss.
S59,ApplyPilot current license,https://raw.githubusercontent.com/Pickle-Pixel/ApplyPilot/main/LICENSE,primary,2026-09-25,"AGPL v3 text directly inspected, no Commons Clause in inspected file."
S60,JobPilot current license,https://raw.githubusercontent.com/jlifeng/JobPilot/main/LICENSE,primary,2026-09-25,Apache-2.0 text fetched using live GitHub connector.
S61,Reactive Resume current license,https://raw.githubusercontent.com/amruthpillai/reactive-resume/main/LICENSE,primary,2026-09-25,MIT text directly inspected.
S62,JobSync current license,https://raw.githubusercontent.com/Gsync/jobsync/main/LICENSE,primary,2026-09-25,MIT license text retrieved.
S63,AI Job Hunter current repository,https://github.com/saeedkolivand/ai-job-hunter-app,primary,2026-09-25,"Closest documented desktop competitor. README, selected glossary/code paths and Git tree inspected; NOT executed. Code Apache-2.0; bundled ATS company datasets CC BY-NC 4.0. Counts are maintainer claims."
S64,AI Job Hunter pinned context glossary,https://github.com/saeedkolivand/ai-job-hunter-app/blob/593219e263ab21e3939ae1967c5ce54fcab9ace0/docs/CONTEXT.md,primary,2026-09-25,"Defines application, generation, derived Applied badge, mutable status, extension autofill, network/privacy boundaries. Current code behavior still requires reproduction."
S65,AI Job Hunter deterministic evidence-selection code,https://github.com/saeedkolivand/ai-job-hunter-app/blob/593219e263ab21e3939ae1967c5ce54fcab9ace0/apps/desktop/src-tauri/src/pipeline/resume/stages/evidence.rs,primary,2026-09-25,Path established from repository search and README. Mechanism documented as deterministic source selection; full code audit and execution not performed.
S66,AARG repository,https://github.com/joseym/aarg,primary,2026-09-25,"Rust CLI/WASM, local models, evidence-grounded adversarial tailoring and Typst export documented. MIT/Apache-2.0 files listed. Not executed."
S67,openroles repository,https://github.com/datascry/openroles,primary,2026-09-25,"MIT code, CC BY-SA 4.0 dataset. README says 51 ATSes while About says 52 platforms; preserve discrepancy, do not certify coverage."
S68,commandjobs repository,https://github.com/nicobrenner/commandjobs,primary,2026-09-25,Apache-2.0 terminal search; local database does not remove cloud GPT dependence. Roadmap separated from implemented claims.
S69,SwizJobs repository,https://github.com/lucasnevespereira/swizjobsbot,primary,2026-09-25,"MIT; French Telegram interface, Swiss alerts using SerpApi, scheduling, PostgreSQL and retention. No independent runtime test."
S70,job-hunter README,https://github.com/AkmalFairuz/job-hunter,primary,2026-09-25,"Go public LinkedIn search library, CLI and Discord notifications; repost/caching/partial results documented. License unresolved in this survey."
S71,AfriApply README,https://github.com/Kumneger0/afriApply,primary,2026-09-25,"Afriwork-specific self-hosted discovery, AI cover letters and automatic submissions. Cloud AI keys and Turso appear in prerequisites. License unresolved."
S72,Opportunity Bridge Agent README,https://github.com/damonleelcx/Opportunity-Bridge-Agent,primary,2026-09-25,"Go binary and Qwen API; sample offline demo is not local inference. Criteria explanations, approval hash, consent and human fallback already documented."
S73,Aletheia Apps README,https://github.com/KarstenEvans/aletheia-app,primary,2026-09-25,"Topic hit, but inspected README primarily describes portable language/news/story apps. Explicitly no license selected; public does not grant reuse."
S74,JobApply repository,https://github.com/p95max/JobApply,primary,2026-09-25,"Django tracker, imports/exports, Drive backups and Gmail proposals. Auto-apply terminology can refer to tracker-status changes rather than application submission."
S75,Rust researcher infrastructure,https://github.com/mareurs/researcher,primary,2026-09-25,Rust query/retrieval/dedup/rerank research infrastructure; not a job-seeker app. Size/speed claims not independently benchmarked.
S76,User-requested jobseekers topic,https://github.com/topics/jobseekers,primary,2026-09-25,"GitHub topic query yielded 37 named repositories in this run. Topic membership is not proof of product relevance, license or completeness."
S77,Simplify Copilot,https://simplify.jobs/copilot,primary,2026-09-25,"Autofill, tracking and tailoring documented; current navigation also advertises interviewer, talent agent, networking and introductions. Advanced flows not tested."
S78,Huntr product,https://huntr.co/,primary,2026-09-25,"Resume/cover tailoring, tracker, contacts, job capture, interview organization and autofill. Observational testimonials are not causal benchmarks."
S79,Jobright product,https://jobright.ai/,primary,2026-09-25,"Vendor describes matching, tailoring, autofill, insider connections and verified/fresh jobs; claims not independently tested."
S80,LoopCV product,https://www.loopcv.pro/,primary,2026-09-25,"Discovery, manual review alternative, auto-apply, recruiter email, company exclusions, analytics and CV A/B testing already advertised."
S81,AIApply product,https://aiapply.co/,primary,2026-09-25,"Auto-apply, materials, interview practice/live assistance, translation and tracker; core subscription plus application credits. No comparative outcome testing here."
S82,Scout product,https://applyscout.app/,primary,2026-09-25,"Vendor documents preferences, tailored materials, delegated applying and submission receipts. Do not claim receipts alone are novel."
S83,HireProof documentation,https://hireproof.tech/docs,primary,2026-09-25,Source-linked fraud/job audits and receipts marketed. Open interface does not establish an OSI code license.
S84,RolePatch Proof,https://rolepatch.com/proof,primary,2026-09-25,Evidence-backed achievements/private imports and selective sharing documented; some verification flows are future-facing.
S85,ApplyFlow Radar,https://career-ops.space/,primary,2026-09-25,"Review workspace, fit checks, portal plans and receipts documented. Ownership/lineage distinct from similarly named GitHub career-ops until verified."
S86,Algorithmic Writing Assistance on Jobseekers Resumes Increases Hires,https://pubsonline.informs.org/doi/10.1287/mnsc.2024.04528,primary,2026-09-25,"Management Science 71(12), 2025; Wiles, Munyikwa and Horton. Nongenerative writing assistance experiment; no causal inference about this proposed LLM app."
S87,A causal test of the strength of weak ties,https://digitaleconomy.stanford.edu/publication/a-causal-test-of-the-strength-of-weak-ties/,primary,2026-09-25,"Science 377(6612), 2022, DOI 10.1126/science.abl4476. Large randomized networking study, nonlinear/context-dependent effects."
S88,ConFit v2,https://aclanthology.org/2025.findings-acl.661/,primary,2026-09-25,Findings ACL 2025. Hypothetical-resume embeddings and hard-negative training for matching. Training technique must never fabricate candidate claims.
S89,Multilingual Swiss occupational classification,https://aclanthology.org/2025.findings-acl.1124/,primary,2026-09-25,"Findings ACL 2025, Gnehm and Clematide. ISCO/CH-ISCO and multilingual Swiss job classification; supports taxonomy-aware evaluation."
S90,Lost in the Middle,https://aclanthology.org/2024.tacl-1.9/,primary,2026-09-25,"TACL 2024. Relevant evidence position can affect long-context performance; results concern studied models, not a guarantee about current models."
S91,Distance between Relevant Information Pieces Causes Bias in Long-Context LLMs,https://aclanthology.org/2025.findings-acl.28/,primary,2026-09-25,Findings ACL 2025. Tests separated evidence pieces; informs context-position/spacing qualification tests.
S92,WebArena,https://arxiv.org/abs/2307.13854,primary,2026-09-25,"arXiv 2307.13854, Zhou et al. Functional web-task benchmark. Historical baseline figures are not current leaderboard results."
S93,OSWorld,https://arxiv.org/abs/2404.07972,primary,2026-09-25,"arXiv 2404.07972, Xie et al. Execution-based computer-use benchmark. Do not project published baselines onto current job applications."
S94,InjecAgent,https://aclanthology.org/2024.findings-acl.624/,primary,2026-09-25,"Findings ACL 2024. Indirect prompt injection through tool content; evaluation ideas, not a defense guarantee."
S95,egui / eframe,https://github.com/emilk/egui,primary,2026-09-25,"Native Rust UI, wgpu and AccessKit. Interaction-driven repaint and virtualized lists matter. Native-looking Windows styling is custom work, not a stock guarantee."
S96,chromiumoxide Rust CDP API,https://docs.rs/chromiumoxide/latest/chromiumoxide/,primary,2026-09-25,Rust browser orchestration; Chromium itself is a separately licensed non-Rust dependency. Exact release pin required.
S97,mistral.rs,https://github.com/EricLBuehler/mistral.rs,primary,2026-09-25,Rust inference candidate; Windows AMD backend/model parity not qualified here. Not selected solely because language is Rust.
S98,Gemma 4 model card,https://ai.google.dev/gemma/docs/core/model_card_4,primary,2026-09-25,Official card includes 12B Unified; model-specific terms and runtime support need review. Not presumed OSI open source or measured to fit this workload.
S99,llama.cpp context correctness issue 27556,https://github.com/ggml-org/llama.cpp/issues/27556,primary,2026-09-25,"Reporter describes Gated DeltaNet HIP/Vulkan discrepancy on Windows gfx1151, NOT the target RX 9070 XT. Motivates correctness testing; not independently reproduced."
S100,llama.cpp reasoning control issue 25067,https://github.com/ggml-org/llama.cpp/issues/25067,primary,2026-09-25,Reporter logs changed/deprecated reasoning controls. Pin version and test behavior instead of copying universal flags.
S101,Windows design guidance,https://learn.microsoft.com/en-us/windows/apps/design/,primary,2026-09-25,Native app patterns and accessibility/interaction guidance; not certification of this design.
S102,Rust Typst document engine,https://github.com/typst/typst,primary,2026-09-25,"Candidate Rust typesetting engine, already used in AARG; version/license/security pin must be verified at implementation."
S103,docx-rs Rust OOXML documentation,https://docs.rs/docx-rs/latest/docx_rs/,primary,2026-09-25,Candidate Rust DOCX pipeline. Export existence is not proof of Word/PDF layout parity; exact release and features require qualification.
